"课程","单元","章节","标题","pro字数","kid字数","节数(pro/kid)","题数","简单","中等","困难","题型数","演示","SVG","状态"
"计算机网络","单元一 网络世界的地图","net-01","第1讲 分层与协议","2121","1303","5/5","10","4","4","2","5","—","有","OK"
"计算机网络","单元一 网络世界的地图","net-02","第2讲 数据链路层：局域网里的快递","2230","1220","5/5","10","4","4","2","5","—","有","OK"
"计算机网络","单元二 网络层：让数据认路","net-03","第3讲 IP 地址与子网划分","2577","1274","5/5","10","4","4","2","5","—","有","OK"
"计算机网络","单元二 网络层：让数据认路","net-04","第4讲 路由的艺术","2496","1240","5/5","10","4","4","2","5","—","有","OK"
"计算机网络","单元二 网络层：让数据认路","net-05","第5讲 IP 进阶：分片、NAT 与 IPv6","2762","1326","5/5","10","4","4","2","5","—","有","OK"
"计算机网络","单元三 传输层：可靠与效率的平衡","net-06","第6讲 UDP：简单直接","2253","1381","5/5","10","4","4","2","6","—","有","OK"
"计算机网络","单元三 传输层：可靠与效率的平衡","net-07","第7讲 TCP 三次握手与四次挥手","1767","1279","5/5","10","4","4","2","5","tcp","有","OK"
"计算机网络","单元三 传输层：可靠与效率的平衡","net-08","第8讲 TCP 的可靠传输","2343","1185","6/6","10","4","4","2","5","tcp","有","OK"
"计算机网络","单元三 传输层：可靠与效率的平衡","net-09","第9讲 TCP 拥塞控制","2137","1190","6/6","10","4","4","2","5","tcp","有","OK"
"计算机网络","单元四 应用层：你每天在用的一切","net-10","第10讲 DNS 与 HTTP","2293","1389","6/6","10","4","4","2","5","—","有","OK"
"计算机网络","单元四 应用层：你每天在用的一切","net-11","第11讲 一次访问的旅程","2261","1370","6/6","10","4","4","2","5","—","有","OK"
"计算机网络","单元五 安全与进阶","net-12","第12讲 网络安全基础","2541","1418","6/6","10","4","4","2","5","—","有","OK"
"数据库系统","单元一 关系世界","db-01","第1讲 数据库是什么","2080","1037","5/5","10","4","4","2","5","—","有","OK"
"数据库系统","单元一 关系世界","db-02","第2讲 SQL 基础查询","1948","1067","5/5","10","4","4","2","4","—","有","OK"
"数据库系统","单元一 关系世界","db-03","第3讲 SQL 进阶","2198","1060","5/5","10","4","4","2","4","—","有","OK"
"数据库系统","单元二 性能的秘密","db-04","第4讲 索引与 B+ 树","1929","991","5/5","10","4","4","2","5","—","有","OK"
"数据库系统","单元二 性能的秘密","db-05","第5讲 查询优化器","1857","1040","5/5","10","4","4","2","5","—","有","OK"
"数据库系统","单元二 性能的秘密","db-06","第6讲 存储引擎与日志","1932","1037","5/5","10","4","4","2","5","—","有","OK"
"数据库系统","单元三 事务与并发","db-07","第7讲 事务与 ACID","2055","1067","5/5","10","4","4","2","5","—","有","OK"
"数据库系统","单元三 事务与并发","db-08","第8讲 并发控制","2002","1050","5/5","10","4","4","2","5","—","有","OK"
"数据库系统","单元四 设计与进阶","db-09","第9讲 数据库设计","1985","1198","5/5","10","4","4","2","5","—","有","OK"
"数据库系统","单元四 设计与进阶","db-10","第10讲 分布式与 NoSQL 导读","2186","1051","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元一 总览与词法","cmp-01","第1讲 编译器是什么","1818","1073","5/5","10","4","4","2","5","compile-flow","有","OK"
"编译原理","单元一 总览与词法","cmp-02","第2讲 词法分析","2186","1029","5/5","10","4","4","2","5","compile-flow","有","OK"
"编译原理","单元二 语法分析","cmp-03","第3讲 语法分析（上）：文法与推导","1794","1144","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元二 语法分析","cmp-04","第4讲 语法分析（下）：LL 与 LR","2815","1308","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元三 语义与中间表示","cmp-05","第5讲 语义分析与符号表","2138","1077","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元三 语义与中间表示","cmp-06","第6讲 中间代码","2329","1032","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元三 语义与中间表示","cmp-07","第7讲 运行时与栈帧","2514","1114","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元四 优化与代码生成","cmp-08","第8讲 代码优化入门","3205","1622","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元四 优化与代码生成","cmp-09","第9讲 代码生成与寄存器分配","2902","1361","5/5","10","4","4","2","5","—","有","OK"
"编译原理","单元四 优化与代码生成","cmp-10","第10讲 现代编译器生态","3116","1645","5/5","10","4","4","2","6","—","有","OK"
"离散数学与计算理论","单元一 逻辑与集合","dm-01","第1讲 命题逻辑","1569","994","5/5","10","4","4","2","5","—","有","OK"
"离散数学与计算理论","单元一 逻辑与集合","dm-02","第2讲 谓词逻辑与证明","1889","1182","6/6","10","4","4","2","5","—","有","OK"
"离散数学与计算理论","单元一 逻辑与集合","dm-03","第3讲 集合、关系与函数","1771","1063","5/5","10","4","4","2","5","—","有","OK"
"离散数学与计算理论","单元二 组合、图与树","dm-04","第4讲 计数与组合","1726","1038","5/5","10","4","4","2","5","—","有","OK"
"离散数学与计算理论","单元二 组合、图与树","dm-05","第5讲 图论基础","2076","1101","5/5","10","4","4","2","5","graphtravel","有","OK"
"离散数学与计算理论","单元二 组合、图与树","dm-06","第6讲 树与递归结构","2018","904","5/5","10","4","4","2","5","—","有","OK"
"离散数学与计算理论","单元三 自动机与形式语言","dm-07","第7讲 有限自动机与正则语言","2048","992","5/5","10","4","4","2","5","fsm","有","OK"
"离散数学与计算理论","单元三 自动机与形式语言","dm-08","第8讲 下推自动机与上下文无关文法","2015","1025","5/5","10","4","4","2","5","—","有","OK"
"离散数学与计算理论","单元四 可计算性与复杂性","dm-09","第9讲 图灵机与可计算性","2428","1356","5/5","10","4","4","2","6","—","有","OK"
"离散数学与计算理论","单元四 可计算性与复杂性","dm-10","第10讲 计算复杂性","2593","1260","5/5","10","4","4","2","5","—","有","OK"
"人工智能与机器学习入门","单元一 智能的起点","ai-01","第1讲 AI 是什么：历史与地图","1926","1138","5/5","10","4","4","2","5","—","有","OK"
"人工智能与机器学习入门","单元一 智能的起点","ai-02","第2讲 搜索：让计算机想办法","1636","961","5/5","10","4","4","2","6","graphtravel","有","OK"
"人工智能与机器学习入门","单元二 机器学习","ai-03","第3讲 机器学习基础","1813","922","5/5","10","4","4","2","6","—","有","OK"
"人工智能与机器学习入门","单元二 机器学习","ai-04","第4讲 线性回归与梯度下降","1799","1052","5/5","10","4","4","2","5","—","有","OK"
"人工智能与机器学习入门","单元二 机器学习","ai-05","第5讲 分类与评估","1884","1129","5/5","10","4","4","2","5","—","有","OK"
"人工智能与机器学习入门","单元三 神经网络","ai-06","第6讲 从感知机到神经网络","2024","1158","5/5","10","4","4","2","5","neural-net","有","OK"
"人工智能与机器学习入门","单元三 神经网络","ai-07","第7讲 反向传播","1829","1022","5/5","10","4","4","2","6","neural-net","有","OK"
"人工智能与机器学习入门","单元三 神经网络","ai-08","第8讲 深度学习与现代应用","2437","1333","6/6","10","4","4","2","6","—","有","OK"
"人工智能与机器学习入门","单元四 用好 AI","ai-09","第9讲 过拟合与调参","2599","1210","5/5","10","4","4","2","5","—","有","OK"
"人工智能与机器学习入门","单元四 用好 AI","ai-10","第10讲 AI 伦理与安全","2554","1290","5/5","10","4","4","2","5","—","有","OK"
